task,attempt,status,reason,survival_time_s,action_calls,action_tokens,reflection_calls,reflection_tokens,attempt_total_tokens,cumulative_tokens_at_start,cumulative_tokens_after_action,path_length_m,final_displacement_m,final_x_m,final_y_m,final_yaw_deg,maximum_x_m,maximum_abs_y_m,minimum_yaw_deg,maximum_yaw_deg,minimum_height_m,maximum_tilt_deg,maximum_stance_slip_m,valid_steps,alternating_steps,video,physics,report
turn_right,2,task_failed,tilt,1.0,20,584012,1,6359,590371,3412029,3996041,0.2022380946051576,0.20089902159372092,0.200892373919487,-0.0016343127936124802,14.207792823195026,0.200892373919487,0.0019010799005627632,-0.012014454070333571,14.207792823195026,0.6795798540115356,15.702425010685502,0.020933939300619184,0,0,b01-turn_right-r01/simulation/20260917T152335-turn_right_attempt_002-504941/video.mp4,b01-turn_right-r01/simulation/20260917T152335-turn_right_attempt_002-504941/physics.jsonl,b01-turn_right-r01/simulation/20260917T152335-turn_right_attempt_002-504941/report.json
turn_right,3,task_failed,stance_slip,6.3500000000000005,129,4004688,1,21037,4025725,4002400,8007088,0.33543861010125087,0.23382207201763885,0.1813024878501892,-0.14765557646751404,4.170142363375354,0.1813024878501892,0.14765557646751404,-1.1463737297033558,14.768026897013685,0.6926636695861816,12.066659111576513,0.049297869867849224,1,1,b01-turn_right-r01/simulation/20260917T152746-turn_right_attempt_003-640250/video.mp4,b01-turn_right-r01/simulation/20260917T152746-turn_right_attempt_003-640250/physics.jsonl,b01-turn_right-r01/simulation/20260917T152746-turn_right_attempt_003-640250/report.json
turn_right,4,task_failed,stance_slip,6.8500000000000005,137,4544470,1,24117,4568587,8028125,12572595,0.24443960202131026,0.1614375828676433,0.10441308468580246,-0.12312595546245575,3.7858882502278184,0.1094907894730568,0.12312595546245575,-1.5362324429388978,3.7858882502278184,0.7388001084327698,9.444350104986253,0.03655395342096803,0,0,b01-turn_right-r01/simulation/20260917T160034-turn_right_attempt_004-347185/video.mp4,b01-turn_right-r01/simulation/20260917T160034-turn_right_attempt_004-347185/physics.jsonl,b01-turn_right-r01/simulation/20260917T160034-turn_right_attempt_004-347185/report.json
turn_right,5,task_failed,"tilt,stance_slip,position",6.15,123,4295724,1,24118,4319842,12596712,16892436,0.2980440174926521,0.25719459753876917,0.1934240609407425,0.16951753199100494,-2.6355460770465866,0.1934240609407425,0.16951753199100494,-2.6355460770465866,0.27182151403111965,0.7381502985954285,17.1883229022164,0.03828735060642398,0,0,b01-turn_right-r01/simulation/20260917T164825-turn_right_attempt_005-340384/video.mp4,b01-turn_right-r01/simulation/20260917T164825-turn_right_attempt_005-340384/physics.jsonl,b01-turn_right-r01/simulation/20260917T164825-turn_right_attempt_005-340384/report.json
turn_right,6,task_failed,"tilt,stance_slip",2.35,48,1772183,1,17041,1789224,16916554,18688737,0.25227329180592667,0.2226104776568301,0.2199104279279709,-0.03456629067659378,-1.633729269057859,0.22938427329063416,0.03456629067659378,-1.6337292690578593,0.6609914932344023,0.7404062151908875,15.366247757917654,0.036372580230788376,0,0,b01-turn_right-r01/simulation/20260917T172415-turn_right_attempt_006-491310/video.mp4,b01-turn_right-r01/simulation/20260917T172415-turn_right_attempt_006-491310/physics.jsonl,b01-turn_right-r01/simulation/20260917T172415-turn_right_attempt_006-491310/report.json
turn_right,7,task_failed,stance_slip,5.45,109,4229388,1,26269,4255657,18705778,22935166,0.4132681838299604,0.2223926899373874,0.1904570460319519,0.1148243099451065,-31.197145410867364,0.1904570460319519,0.11592411994934082,-31.197145410867364,0.001737072596033185,0.7008360028266907,14.150598136739982,0.09270586850884922,0,0,b01-turn_right-r01/simulation/20260917T174754-turn_right_attempt_007-312261/video.mp4,b01-turn_right-r01/simulation/20260917T174754-turn_right_attempt_007-312261/physics.jsonl,b01-turn_right-r01/simulation/20260917T174754-turn_right_attempt_007-312261/report.json
turn_right,8,task_failed,stance_slip,7.15,144,5895878,1,32644,5928522,22961435,28857313,0.45301407484419154,0.2238845566990269,0.22378605604171753,-0.006640470586717129,11.368640592511735,0.22378605604171753,0.12073461711406708,-1.1213514415965644,16.62560518833333,0.6951772570610046,14.193712489756876,0.03937520443307261,2,1,b01-turn_right-r01/simulation/20260917T181331-turn_right_attempt_008-189033/video.mp4,b01-turn_right-r01/simulation/20260917T181331-turn_right_attempt_008-189033/physics.jsonl,b01-turn_right-r01/simulation/20260917T181331-turn_right_attempt_008-189033/report.json
turn_right,9,task_failed,position,2.1,44,1887626,1,22254,1909880,28889957,30777583,0.2581219997407791,0.25289550868209515,0.25286591053009033,-0.0038690571673214436,0.19690369972023714,0.25286591053009033,0.0038690571673214436,-0.05976958919210857,0.19690369972023716,0.735222339630127,12.968217734161218,0.024701292258043246,0,0,b01-turn_right-r01/simulation/20260917T185744-turn_right_attempt_009-491666/video.mp4,b01-turn_right-r01/simulation/20260917T185744-turn_right_attempt_009-491666/physics.jsonl,b01-turn_right-r01/simulation/20260917T185744-turn_right_attempt_009-491666/report.json
turn_right,10,task_failed,"stance_slip,position",6.95,139,6230635,1,35711,6266346,30799837,37030472,0.46004295632458253,0.25034369495591074,-0.14883708953857422,-0.20129452645778656,-4.977449377476845,0.09091053903102875,0.20129452645778656,-4.977449377476845,3.5050216555961193,0.7015349864959717,13.974559235155123,0.04375056964014547,0,0,b01-turn_right-r01/simulation/20260917T190904-turn_right_attempt_010-002408/video.mp4,b01-turn_right-r01/simulation/20260917T190904-turn_right_attempt_010-002408/physics.jsonl,b01-turn_right-r01/simulation/20260917T190904-turn_right_attempt_010-002408/report.json
turn_right,11,administratively_censored,user_stop_below_40m_ceiling,1.55,31,1448380,0,0,1448380,37066183,38514563,0.0975448820675281,0.09656333685281172,0.09655990451574326,-0.0008141646394506097,0.028316570419687274,0.09655990451574326,0.0008141646394506097,-0.00202611063239606,0.028316570419687274,0.7354955673217773,7.2539358086820735,3.077543011838143e-06,0,0,b01-turn_right-r01/simulation/20260917T195425-turn_right_attempt_011-582278/video.mp4,b01-turn_right-r01/simulation/20260917T195425-turn_right_attempt_011-582278/physics.jsonl,b01-turn_right-r01/simulation/20260917T195425-turn_right_attempt_011-582278/report.json
