model,dataset,n,successes,sr_pct,spl_pct,ndtw_pct,mean_steps,mean_path_m
astra,r2r,50,39,78.0,65.27420211092755,72.19576965763852,85.16,12.031099449606137
astra,rxr,50,46,92.0,77.25135191556258,84.72760816053835,98.1,12.945165224503725
astra,mp3d,50,28,56.00000000000001,22.42575825905191,,220.76,26.582832282418998
astra,hm3d,50,41,82.0,43.68732597357161,,163.22,16.797689146270116
lightnav,r2r,50,29,57.99999999999999,54.139126076629076,72.7720322561065,72.46,9.715156849622726
lightnav,rxr,50,36,72.0,64.07501264047228,77.440733224915,77.74,12.477319400571286
lightnav,mp3d,50,10,20.0,8.392391952973515,,411.72,12.45916092072276
lightnav,hm3d,50,33,66.0,37.746657875239485,,254.1,11.432086268994581
uninavid,r2r,50,15,30.0,27.757386934112198,61.76026518159814,258.7,8.108442836795001
uninavid,rxr,50,17,34.0,25.670598102052683,56.33751668715583,215.48,13.779926190758124
uninavid,mp3d,50,4,8.0,5.461861173474799,,310.86,9.081335988615802
uninavid,hm3d,50,15,30.0,20.48201787613707,,321.68,6.677359307701271
omninav,r2r,50,28,56.00000000000001,53.88706940617452,71.17729400600574,55.34,9.653374100211076
omninav,rxr,50,36,72.0,56.29489562937202,68.50799444351632,99.24,15.64167081792606
omninav,mp3d,50,2,4.0,2.9644041612712204,,235.68,5.383224383063725
omninav,hm3d,50,3,6.0,2.89781704280578,,357.88,4.440063000555138
