model,dataset,episode_id,success,spl_full_suite,ndtw,sdtw,steps,path_length,termination
lightnav,mp3d,b0fbc943f9b4b683b5923537,0,0.0,,,500,4.145533517509492,max_steps
lightnav,mp3d,82bab0c34ef7e4466c33febc,1,0.6181866034588758,,,100,10.108613790451477,stop
lightnav,mp3d,b6defdd548e1dac72ffa3a48,0,0.0,,,99,13.502088216568481,stop
lightnav,mp3d,752a407317bb31624789056a,0,0.0,,,500,0.25000390060176103,max_steps
lightnav,mp3d,5fdd5735e025699ecc13e443,0,0.0,,,500,29.21808218631354,max_steps
lightnav,mp3d,6c1e86f2b5c0caf337ac1dea,0,0.0,,,500,2.4615335883407083,max_steps
lightnav,mp3d,b92a2d71689d902339a28c0b,0,0.0,,,500,7.815621288781689,max_steps
lightnav,mp3d,0530875b1b73c400a563c9ba,0,0.0,,,195,4.470348358154297e-06,stop
lightnav,mp3d,b5489479db6a32f20c87b1ff,0,0.0,,,500,10.587375462384145,max_steps
lightnav,mp3d,925b72a27d4814afcf0034a3,1,0.0847668544137234,,,259,46.450108074016995,stop
lightnav,mp3d,b416d788c32f18ea8b3d14cd,0,0.0,,,500,1.2500021918322557,max_steps
lightnav,mp3d,1169adbfb45309a3c5d655cb,1,0.23752117226232825,,,231,11.400143267049213,stop
lightnav,mp3d,d8a0c9925a83233ff66c8a05,1,0.38054977505885285,,,457,9.76513587053824,stop
lightnav,mp3d,696a69051baecc961533b48e,0,0.0,,,500,28.495020791546438,max_steps
lightnav,mp3d,d8e848c88cc11f9266095a76,0,0.0,,,500,4.843193168841967,max_steps
lightnav,hm3d,26991104ba488fcf94ed0e2f,1,0.6437401368032687,,,145,21.72610058787093,stop
lightnav,hm3d,e5eeab093f20749531e10cfd,1,0.689700022944221,,,49,5.9359227609102225,stop
lightnav,hm3d,1c79f4249a55a31ca930f2b0,1,0.7677965550196715,,,64,6.506587123550188,stop
lightnav,hm3d,9de789f9f275910a6bcd96aa,0,0.0,,,500,26.44203794766231,max_steps
lightnav,hm3d,dd7aa17effe4a51d6f41c21d,1,0.3806650781985083,,,172,27.681685270574867,stop
lightnav,hm3d,53b9750a6b34df161eba8893,1,0.8521775304847263,,,12,2.3785472049138674,stop
lightnav,hm3d,7d2027f3e9e6c7dc65c9e82b,0,0.0,,,498,1.9738985894928258,stop
